permno,adate,qdate,public_date,bm,TICKER
21514,1983-12-31,1984-06-30,1984-09-30,1.417,SNT
21514,1983-12-31,1984-06-30,1984-10-31,1.417,SNT
21514,1983-12-31,1984-09-30,1984-11-30,1.283,SNT
21514,1983-12-31,1984-09-30,1984-12-31,1.283,SNT
21514,1983-12-31,1984-09-30,1985-01-31,1.283,SNT
21514,1984-12-31,1984-12-31,1985-02-28,1.383,SNT
21514,1984-12-31,1984-12-31,1985-03-31,1.383,SNT
21514,1984-12-31,1984-12-31,1985-04-30,1.383,SNT
21514,1984-12-31,1985-03-31,1985-05-31,1.166,SNT
21514,1984-12-31,1985-03-31,1985-06-30,1.166,SNT
21514,1984-12-31,1985-03-31,1985-07-31,1.166,SNT
21514,1984-12-31,1985-06-30,1985-08-31,1.354,SNT
21514,1984-12-31,1985-06-30,1985-09-30,1.354,SNT
21514,1984-12-31,1985-06-30,1985-10-31,1.354,SNT
21514,1984-12-31,1985-09-30,1985-11-30,1.430,SNT
21514,1984-12-31,1985-09-30,1985-12-31,1.430,SNT
21514,1984-12-31,1985-09-30,1986-01-31,1.430,SNT
21514,1985-12-31,1985-12-31,1986-02-28,1.257,SNT
21514,1985-12-31,1985-12-31,1986-03-31,1.257,SNT
21514,1985-12-31,1985-12-31,1986-04-30,1.257,SNT
21514,1985-12-31,1986-03-31,1986-05-31,1.411,SNT
21514,1985-12-31,1986-03-31,1986-06-30,1.411,SNT
21514,1985-12-31,1986-03-31,1986-07-31,1.411,SNT
21514,1985-12-31,1986-06-30,1986-08-31,1.569,SNT
21514,1985-12-31,1986-06-30,1986-09-30,1.569,SNT
21514,1985-12-31,1986-06-30,1986-10-31,1.569,SNT
21514,1985-12-31,1986-09-30,1986-11-30,1.731,SNT
21514,1985-12-31,1986-09-30,1986-12-31,1.731,SNT
21514,1985-12-31,1986-09-30,1987-01-31,1.731,SNT
21514,1986-12-31,1986-12-31,1987-02-28,1.224,SNT
21514,1986-12-31,1986-12-31,1987-03-31,1.224,SNT
21514,1986-12-31,1986-12-31,1987-04-30,1.224,SNT
21514,1986-12-31,1987-03-31,1987-05-31,0.978,SNT
21514,1986-12-31,1987-03-31,1987-06-30,0.978,SNT
21514,1986-12-31,1987-03-31,1987-07-31,0.978,SNT
21514,1986-12-31,1987-06-30,1987-08-31,1.085,SNT
21514,1986-12-31,1987-06-30,1987-09-30,1.085,SNT
21514,1986-12-31,1987-06-30,1987-10-31,1.085,SNT
21514,1986-12-31,1987-09-30,1987-11-30,0.979,SNT
21514,1986-12-31,1987-09-30,1987-12-31,0.979,SNT
21514,1986-12-31,1987-09-30,1988-01-31,0.979,SNT
21514,1987-12-31,1987-12-31,1988-02-29,1.364,SNT
21514,1987-12-31,1987-12-31,1988-03-31,1.364,SNT
21514,1987-12-31,1987-12-31,1988-04-30,1.364,SNT
21514,1987-12-31,1988-03-31,1988-05-31,1.133,SNT
21514,1987-12-31,1988-03-31,1988-06-30,1.133,SNT
21514,1987-12-31,1988-03-31,1988-07-31,1.133,SNT
21514,1987-12-31,1988-06-30,1988-08-31,1.177,SNT
21514,1987-12-31,1988-06-30,1988-09-30,1.177,SNT
21514,1987-12-31,1988-06-30,1988-10-31,1.177,SNT
21514,1987-12-31,1988-09-30,1988-11-30,1.171,SNT
21514,1987-12-31,1988-09-30,1988-12-31,1.171,SNT
21514,1987-12-31,1988-09-30,1989-01-31,1.171,SNT
21514,1988-12-31,1988-12-31,1989-02-28,1.123,SNT
21514,1988-12-31,1988-12-31,1989-03-31,1.123,SNT
21514,1988-12-31,1988-12-31,1989-04-30,1.123,SNT
